SPY,,,GOVT,,,EEMV,,,CME,,,BR,,,CBOE,,,ICE,,,ACN,,
Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,,Date,Adj Close,
2/28/2017,224.504486,,2/28/2017,23.823147,,2/28/2017,48.740963,,2/28/2017,111.977486,,2/28/2017,66.23925,,2/28/2017,75.639427,,2/28/2017,54.85429,,2/28/2017,116.481361,
3/1/2017,227.647003,,3/1/2017,23.688112,,3/1/2017,49.22168,,3/1/2017,117.084976,,3/1/2017,67.452621,,3/1/2017,77.097778,,3/1/2017,56.582592,,3/1/2017,117.97422,
3/31/2017,224.78511,,3/31/2017,23.821241,,3/31/2017,50.428188,,3/31/2017,110.113335,,3/31/2017,65.234489,,3/31/2017,78.818604,,3/31/2017,57.676128,,3/31/2017,113.990082,
4/3/2017,224.39418,,4/3/2017,23.897409,,4/3/2017,50.776943,,4/3/2017,108.908394,,4/3/2017,64.936874,,4/3/2017,78.429726,,4/3/2017,57.146286,,4/3/2017,111.860146,
4/28/2017,227.016373,,4/28/2017,23.99262,,4/28/2017,51.15398,,4/28/2017,107.694183,,4/28/2017,67.144966,,4/28/2017,80.121414,,4/28/2017,57.994038,,4/28/2017,116.536934,
5/1/2017,227.58847,,5/1/2017,23.957346,,5/1/2017,51.267086,,5/1/2017,108.111275,,5/1/2017,67.106567,,5/1/2017,80.364464,,5/1/2017,58.186707,,5/1/2017,116.488899,
5/31/2017,230.22023,,5/31/2017,24.138481,,5/31/2017,52.12484,,5/31/2017,108.713745,,5/31/2017,72.857178,,5/31/2017,84.214401,,5/31/2017,57.984398,,5/31/2017,119.582458,
6/1/2017,232.050995,,6/1/2017,24.1423,,6/1/2017,52.511295,,6/1/2017,109.204994,,6/1/2017,74.297234,,6/1/2017,84.653183,,6/1/2017,58.128906,,6/1/2017,120.370262,
6/30/2017,231.687881,,6/30/2017,24.113665,,6/30/2017,52.621777,,6/30/2017,116.739738,,6/30/2017,72.863113,,6/30/2017,89.118874,,6/30/2017,63.702076,,6/30/2017,118.823486,
7/3/2017,232.080719,,7/3/2017,24.068737,,7/3/2017,52.783253,,7/3/2017,117.727798,,7/3/2017,72.525612,,7/3/2017,89.616127,,7/3/2017,64.436508,,7/3/2017,119.063667,
7/31/2017,236.450043,,7/31/2017,24.154764,,7/31/2017,54.236519,,7/31/2017,114.297569,,7/31/2017,73.15242,,7/31/2017,92.170761,,7/31/2017,64.465492,,7/31/2017,123.761658,
8/1/2017,236.97702,,8/1/2017,24.207413,,8/1/2017,54.464485,,8/1/2017,115.388153,,8/1/2017,73.750282,,8/1/2017,92.833778,,8/1/2017,65.016319,,8/1/2017,124.760818,
8/31/2017,237.139923,,8/31/2017,24.408419,,8/31/2017,55.224369,,8/31/2017,117.261719,,8/31/2017,75.341377,,8/31/2017,98.637428,,8/31/2017,62.494137,,8/31/2017,125.625458,
9/1/2017,237.475281,,9/1/2017,24.365282,,9/1/2017,55.518826,,9/1/2017,117.681175,,9/1/2017,75.22567,,9/1/2017,98.686317,,9/1/2017,62.909668,,9/1/2017,124.991386,
9/29/2017,241.918137,,9/29/2017,24.192757,,9/29/2017,55.186371,,9/29/2017,127.124481,,9/29/2017,78.294617,,9/29/2017,105.226952,,9/29/2017,66.790894,,9/29/2017,129.766235,
10/2/2017,242.967758,,10/2/2017,24.167795,,10/2/2017,55.186371,,10/2/2017,127.79911,,10/2/2017,78.565865,,10/2/2017,105.764671,,10/2/2017,67.403397,,10/2/2017,130.121704,
10/31/2017,247.618698,,10/31/2017,24.129404,,10/31/2017,56.221714,,10/31/2017,128.520554,,10/31/2017,83.235268,,10/31/2017,110.535713,,10/31/2017,64.263153,,10/31/2017,138.09465,
